Agency,Department,Name,Address,Location
MCG,FRS,F&RS,"121 Rollins Ave., Rockville, MD 20852",POINT (-77.122595 39.058786)
MCG,DLC,ABS,"12051 Chestnut Branch Way, Suite 1, Clarksburg, MD 20871",POINT (-77.249405 39.229719)
MCG,REC,Bette Carol Thompson Scotland,"7700 Scotland Drive, Potomac, MD",POINT (-77.159068 39.031479)
MCG,HHS,DHHS Silver Spring Center,"8818 Georgia Avenue, Silver Spring, MD 20910",POINT (-77.033282 39.000666)
MCG,FRS,F&RS,"10617 New Hampshire Ave., Silver Spring, MD 20903",POINT (-76.983563 39.029926)
MCG,DLC,ABS,"12015-B Rockville Pike, Rockville, MD 20852",POINT (-77.117241 39.053977)
MCG,DLC,ABS,"16535 South Frederick Road, Gaithersburg, MD 20877",POINT (-77.184345 39.127197)
MCG,DLC,ABS,"723 Cloverly Avenue, Silver Spring , MD 20905",POINT (-76.995756 39.109143)
MCG,DLC,ABS,"3733 University Boulevard, Kensington, MD 20895",POINT (-77.073764 39.032853)
MCG,DLC,ABS,"13661 Connecticut Avenue, Silver Spring, MD 20906",POINT (-77.080702 39.078569)
MCG,DLC,ABS,"17825 Georgia Avenue, Olney, MD 20832",POINT (-77.066774 39.149897)
MCG,HHS,HHS -401 Hungford,401 Hungford Dr.,POINT (-88.238807 42.044501)
MCG,DLC,ABS,"20004-2008 Goshen Road, Gaithersburg, MD 20879",POINT (-77.187103 39.186773)
MCG,PIO/PublicSafety,PSHQ Building,"100 Edison Park Road, Gaithersburg, Md",POINT (-77.236469 39.113526)
MCG,REC,North Potomac Rec Center,"13850 Travilah Rd, Rockville, MD 20850",POINT (-77.232348 39.082916)
MCG,DGS,"Bone EMOC Fleet Management, Bldg #1","16624 Crabbs Branch Way, Rockville, MD",POINT (-77.168296 39.130352)
MCG,DLC,ABS,"4920 Hampden Lane, Bethesda, MD 20814",POINT (-77.097247 38.982687)
MCG,DLC,ABS,"12155 Darnestown Road, Gaithersburg, MD 20878",POINT (-77.251414 39.11752)
MCG,DPL,Germantown Library,"19840 Century Blvd, Germantown, MD 20874",POINT (-77.26622 39.181509)
MCG,REC,Bauer Dr Community Center,"14625 Bauer Drive, Rockville, 20853",POINT (-77.109505 39.095357)
MCG,PIO/PublicSafety,PIO,"1401 Rockville Pike, Rockville, MD, 20850",POINT (-77.128766 39.067396)
MCG,DPL,Damascus Library,"9701 Main Street, Damascus, MD, 20872",POINT (-77.200174 39.287238)
MCG,FRS,F&RS,"701-C Dover Road, Rockville MD 20850",POINT (-77.140686 39.09895)
MCG,DLC,ABS,"866 Muddy Branch Road, Gaithersburg, MD 20878",POINT (-77.216397 39.112892)
MCG,HHS,Juvenile Assessment Center,"7300 Calhoun Place, Rockville, 20850",POINT (-77.148192 39.107769)
MCG,HHS,Drug Treatment Facility,"918 Rollins Ave, Rockville, MD 20853",POINT (-77.11782 39.057955)
MCG,DHS,DHS Damascus,"26149 Ridge Road, Damascus, MD, 20872",POINT (-77.207897 39.287108)
MCG,DLC,ABS,"302 King Farm Boulevard, Suite 120, Rockville, MD 20850",POINT (-77.171251 39.114946)
MCG,DPL,Collection Mgmt Ctr,"2 Metropolitan Court, Suite 4, Gaithersburg, MD, 20878",POINT (-77.228326 39.14862)
MCG,DPL,Wheaton Regional Library,"11701 Georgia Ave, Wheaton, MD",POINT (-77.051924 39.047816)
MCG,MCPD,4Th District Police Station,"2300 Randolph Road, Wheaton, MD, 20902",POINT (-77.048452 39.058628)
MCG,MCPD,MCPD(PSHQ),"100 Edison Park Drive, Gaithersburg, MD, 20878",POINT (-77.236469 39.113526)
MCG,DGS,Records Storage (Archives Warehouse),"8520 Anniversary Circle, Gaithersburg, MD 20877",POINT (-77.175973 39.128881)
MCG,DPS,Permitting Services,"255 Rockville Pike, 2nd floor, Rockville, MD",POINT (-77.147943 39.084716)
MCG,RSC,East County Government Center,"3300 Briggs Chaney Road, Silver Spring, MD 20904",
MCG,REC,Good Hope Neighborhood Recreation Center,"14715 Good Hope Road, Silver Spring, MD 20905",
MCG,DPL,Kensington Park Library,"4201 Knowles Avenue, Kensington, MD",POINT (-77.081721 39.028817)
MCG,FRS,F&RS,"13900 Old Columbia Pike, Silver Spring, MD 20904",
MCG,FRS,F&RS,"9041 Old Georgetown Road, Bethesda MD",POINT (-77.110372 39.004077)
MCG,HHS,Adult Behavioral Health Services,"751 Twinbrook Parkway, Rockville, MD",POINT (-77.114487 39.082009)
MCG,FRS,F&RS,"1945 Seminary Road, Silver Spring, MD",
MCG,FRS,F&RS,"20001 Crystal Rock Drive, Germantown, MD 20874",
MCG,DPL,Chevy Chase Library,"8005 Connecticut Avenue, Chevy Chase, MD",POINT (-81.628928 41.438962)
MCG,DGS,Seven Locks Repair/Maintenance Shop,"1283 Seven Locks Road, Rockville, MD",POINT (-77.161121 39.065508)
MCG,CAO/CEX/CC/Courts,Rockville  District Court,"191 East Jefferson, Rockville, MD, 20850",POINT (-94.563442 39.533641)
MCG,DPL,Olney Library,"3500 Olney-Laytonsville Road, Olney, MD",POINT (-77.068744 39.154124)
MCG,DPL,Praisner (Fairland) Library,"14910 Old Comumbia Pike, Burtonsville, MD 20866",
MCG,DED/DEP,SWS-Dickerson,"21204 Martinsburg  Rd. Dickerson, MD",POINT (-77.444954 39.204087)
MCG,FRS,F&RS,"8001 River Road, Bethesda, MD",POINT (-90.284684 31.909321)
MCG,REC,HQ,"4010 Randolph Road, Silver Spring. MD",POINT (-83.910832 43.402872)
MCG,FRS,F&RS,"12500 Veirs Mill Road, Rockville, MD",POINT (-77.09245 39.061736)
MCG,REC,Germantown Rec Center,"18905 Kingsview Drive, Germantown, MD, 20874",
MCG,DPL,Gaithersburg Regional Library,"18330 Montgomery Village Avenue, Gaithersburg, MD",POINT (-77.204993 39.157702)
MCG,REC,Holiday Park Senior Center,"3950 Ferrara Drive, Wheaton, MD",POINT (-77.076744 39.049836)
MCG,DPL,Twinbrook Library,"202 Meadow Hall Drive, Rockville, MD 20851",POINT (-77.113238 39.07488)
MCG,DTS,Radio Repair Shop,"16647 Crabbs Branch Way, Rockville, MD",POINT (-77.166677 39.127438)
MCG,DPL,Aspen Hill Library,"4407 Aspen Hill Road, Rockville, MD",
MCG,REC,"Ross Boody CRC, 18529 Brooke Road,  Sandy Spring, MD","18529 Brooke Road,  Sandy Spring, Md",POINT (-87.994184 42.332803)
MCG,REC,Schweinhart Sr. Center,"1000 Forest Glen Rd., Silver Spring, Md",POINT (-122.896418 42.365666)
MCG,FRS,F&RS,"6700 Democracy Boulevard, Bethesda, MD",POINT (-77.137532 39.021378)
MCG,DPL,Long Branch Library,"8800 Garland Avenue, Silver Spring, MD",POINT (-96.600794 40.834452)
MCG,DOCR,Montgomery County Detention Center,"1307 Seven Locks Road, Rockville, MD",POINT (-77.163105 39.069924)
MCG,DPL,Silver Spring Library,"900 Wayne Avenue, Silver Spring, MD 20910",
MCG,DOT,Silver Spring Service Depot - H,"8712 Brookville Road, Silver Spring, MD",POINT (-84.964686 39.372412)
MCG,FRS,F&RS,"9404 Falls Road, Potomac, MD 20854",POINT (-80.422041 27.406799)
MCG,CAO/CEX/CC/Courts,COB,"100 Maryland Avenue, Rockville, MD",POINT (-82.437576 34.826731)
MCG,FRS,F&RS,"5920 Massachusetts Avenue, Bethesda, MD",POINT (-77.120569 38.963072)
MCG,REC,East County Rec,"3310 Gateshead  Manor Way, MD",POINT (-76.936799 39.078243)
MCG,FRS,F&RS(FireStation 10),"8110 Georgia Avenue, Silver Spring, MD 20910",
MCG,FRS,F&RS,"26334 Ridge Road, Damascus, MD",
MCG,REC,Upper County Community Recreation Center,"8201 Emory Grove Road Gaithersburg, Md",POINT (-77.168899 39.149651)
MCG,FRS,F&RS,"7272 Muncaster Mill Road, Rockville, MD",POINT (-77.146632 39.148291)
MCG,FRS,F&RS,"16911 Georgia Avenue, Olney, MD",POINT (-77.069865 39.133999)
MCG,MCPD,5Th District Police Station,"2000 Aircraft Drive, Germantown, MD 20874",
MCG,HHS,Betty Ann Krahnke Center,"14810 Broschart Road, Gaithersburg, MD 20850",POINT (-77.201686 39.099353)
MCG,DPL,Quince Orchard Library,"15831 Quince Orchard Road, Gaithersburg, MD",POINT (-77.252898 39.115805)
MCG,REC,Mid-County Recreation Center,"2004 Queensguard Drive, Wheaton, MD",POINT (-79.816338 36.103911)
MCG,DGS,Swing Office Space,"1451 Seven Locks Road, Rockville, MD",POINT (-121.500155 38.549099)
MCG,HHS,HHS - 1301 Piccard Drive,"1301 Piccard Drive, Rockville, MD",POINT (-77.177593 39.102672)
MCG,FRS,Wheaton Resource Center,"11435 Grandview Ave, Wheaton, MD",POINT (-77.053153 39.042763)
MCG,DOT,Colesville Highway Service Depot,"14335 Cape May Road, Silver Spring, MD 20904",
MCG,RSC,Bethesda/Chevy Chase RSC,"4805 Edgemoor Lane, Bethesda, Md",POINT (-77.095858 38.984796)
